start_station,count
E 7 St & Avenue A,53
5 Ave & E 72 St,50
34 Ave & 31 St,25
Bond St & Fulton St,23
W 84 St & Broadway,21
Allen St & Hester St,17
W 100 St & Manhattan Ave,16
6 Ave & Broome St,16
Kane St & Clinton St,16
S 4 St & Wythe Ave,14
Delancey St & Eldridge St,14
Lenox Ave & W 111 St,13
West End Ave & W 60 St,12
W 51 St & Rockefeller Plaza,12
Steinway St & 28 Ave,12
W 15 St & 10 Ave,11
58 St & 32 Ave,1
Kingston Ave & Herkimer St,1
E 138 St & Willow Ave,1
Jerome Ave & E Mosholu Parkway S,1
34 St & 38 Ave,1
